drug_cleaned,matching
or autologous blood intake,autologous blood product
or cell saver intake,autologous blood product
d5lr,dextrose 5% in lactated ringers
d5ns,dextrose 5% in normal saline
ffp,fresh frozen plasma
fibersource hn,fibersource hn liquid
free water,sterile water
gastric meds,proton pump inhibitor
gt flush,gastrostomy tube flush
insulin - humalog,insulin lispro
insulin - nph,humulin N
insulin - regular,humulin R
k phos,potassium phosphate
kcl,potassium chloride
lr,lactated ringers
na phos,sodium phosphate
nacl,sodium chloride
novasource renal,novasource renal liquid
packed rbc,packed red blood cells
peripheral parenteral nutrition,solutions for parenteral nutrition
or platelet intake,platelets
pacu platelet intake,platelets
replete,replete liquid
replete with fiber,replete with fiber liquid
resource fruit beverage,resource fruit flavor drink
tpn without lipids,solutions for parenteral nutrition
